loan_id,loan_date,loan_amount,loan_duration,payments,loan_success,account_frequency,account_creation,no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district unemploymant_growth,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,account_district crime_growth,account_district total_crime,birth_number,gender,code ,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district unemploymant_growth,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 ,client_district crime_growth,client_district total_crime,card_issued,card_type,no. movements,min no. trans,max no. trans,avg no. trans,min balance,max balance,avg balance
7104,13-12-1993,259740,60,4329,1,monthly issuance,11-07-1993,228848,15,40,18,2,6,57.2,9893,4.09,4.72,0.6299999999999999,96,5623.0,5887,264.0,11510.0,16-03-1979,male,68,228848,15,40,18,2,6,57.2,9893,4.09,4.72,0.6299999999999999,96,5623.0,5887,264.0,11510.0,0,None,17.0,75.3,38960.0,13038.088235294117,800.0,79633.5,45198.15294117647
6820,16-12-1993,38148,12,3179,1,monthly issuance,28-06-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,22-01-1965,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,29.0,9.9,32706.0,8369.555172413793,900.0,62324.6,37462.09310344828
6876,21-12-1993,86616,12,7218,1,monthly issuance,18-08-1993,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,28-09-1961,male,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,0,None,15.0,29.8,17859.0,5323.546666666667,800.0,48353.1,25714.046666666665
7097,23-12-1993,75624,24,3151,-1,monthly issuance,10-06-1993,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,07-12-1958,male,54,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,0,None,23.0,50.5,49887.0,13406.739130434782,400.0,89754.8,50009.90869565217
4959,05-01-1994,80952,24,3373,1,monthly issuance,26-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,04-02-1945,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,54.0,13.5,30354.0,7954.257407407407,1100.0,67529.6,32590.624074074076
6499,05-01-1994,80952,24,3373,1,monthly issuance,26-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,04-02-1945,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,54.0,13.5,30354.0,7937.75,1100.0,67529.6,33312.53888888889
5479,10-01-1994,24516,12,2043,1,monthly issuance,27-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,07-10-1958,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,73.0,12.5,59200.0,16201.558904109588,200.0,125254.2,55582.22602739726
5170,20-01-1994,253200,60,4220,1,weekly issuance,10-05-1993,228848,15,40,18,2,6,57.2,9893,4.09,4.72,0.6299999999999999,96,5623.0,5887,264.0,11510.0,13-03-1950,female,52,139012,59,41,8,3,10,61.9,8363,2.52,3.49,0.9700000000000002,108,2564.0,2799,235.0,5363.0,0,None,41.0,30.0,46304.0,11912.358536585365,800.0,104417.9,47302.546341463414
6721,21-01-1994,21072,24,878,1,monthly issuance,08-09-1993,149893,63,29,6,2,6,67.4,9753,4.64,5.05,0.41000000000000014,109,5244.0,5892,648.0,11136.0,09-08-1964,female,17,74062,99,15,4,2,7,61.4,8114,2.38,2.62,0.2400000000000002,119,1003.0,1181,178.0,2184.0,0,None,15.0,48.5,9738.0,3164.4733333333334,1100.0,33467.0,21575.686666666665
7259,31-01-1994,108144,36,3004,1,monthly issuance,20-05-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,12-05-1963,female,59,108871,41,29,7,2,6,62.1,8444,3.24,3.47,0.22999999999999998,106,2595.0,2305,-290.0,4900.0,0,None,55.0,14.6,60600.0,13671.42909090909,900.0,123863.4,54652.89818181818
5285,06-02-1994,78936,12,6578,1,monthly issuance,09-05-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,22-01-1957,female,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,51.0,14.6,11416.0,3259.0,900.0,40560.3,25900.319607843136
5189,07-02-1994,149040,48,3105,1,monthly issuance,21-04-1993,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,20-12-1968,female,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,0,None,54.0,14.6,27946.0,6682.029629629629,200.0,62441.6,36845.58888888889
6650,17-02-1994,49320,12,4110,-1,issuance after transaction,03-09-1993,122603,25,21,6,2,8,80.0,8991,1.39,2.01,0.6199999999999999,128,5198.0,5273,75.0,10471.0,03-10-1945,female,24,122603,25,21,6,2,8,80.0,8991,1.39,2.01,0.6199999999999999,128,5198.0,5273,75.0,10471.0,0,None,49.0,100.0,62700.0,10548.359183673469,900.0,126833.0,46576.27755102041
7226,23-02-1994,197748,36,5493,1,monthly issuance,13-09-1993,102609,75,33,2,3,6,52.0,8187,4.83,5.45,0.6200000000000001,94,2123.0,2134,11.0,4257.0,05-05-1970,female,13,53921,61,22,1,1,2,41.3,8598,2.77,3.26,0.48999999999999977,123,1597.0,1875,278.0,3472.0,0,None,16.0,68.3,36216.0,14293.4125,300.0,74413.6,44735.43125
6087,27-02-1994,300660,60,5011,1,monthly issuance,29-04-1993,128118,9,16,6,3,8,85.3,9317,6.49,7.07,0.5800000000000001,97,6949.0,6872,-77.0,13821.0,07-01-1950,male,40,128118,9,16,6,3,8,85.3,9317,6.49,7.07,0.5800000000000001,97,6949.0,6872,-77.0,13821.0,0,None,66.0,14.6,48900.0,10342.530303030304,800.0,135175.2,45854.89090909091
7262,01-03-1994,182628,36,5073,1,monthly issuance,10-10-1993,138032,67,30,4,2,5,64.6,8819,5.38,5.66,0.28000000000000025,99,4063.0,4505,442.0,8568.0,23-05-1959,male,75,138032,67,30,4,2,5,64.6,8819,5.38,5.66,0.28000000000000025,99,4063.0,4505,442.0,8568.0,0,None,13.0,67.1,23204.0,8281.607692307693,500.0,52246.0,33229.10769230769
5519,08-03-1994,91632,12,7636,1,monthly issuance,08-03-1993,94725,38,28,1,3,6,63.4,9920,2.26,2.87,0.6100000000000003,130,4289.0,4846,557.0,9135.0,28-12-1962,female,52,139012,59,41,8,3,10,61.9,8363,2.52,3.49,0.9700000000000002,108,2564.0,2799,235.0,5363.0,0,None,70.0,14.6,26378.0,6304.105714285714,700.0,64577.8,40976.94285714286
6577,11-03-1994,51696,24,2154,1,monthly issuance,08-02-1993,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,28-01-1968,female,74,323870,0,0,0,1,1,100.0,10673,4.75,5.44,0.6900000000000004,100,18782.0,18347,-435.0,37129.0,07-11-1993,classic,102.0,14.6,59600.0,13901.269607843138,600.0,124339.4,58226.50490196078
6509,15-03-1994,55368,24,2307,1,monthly issuance,18-03-1993,197099,29,41,10,2,10,74.7,9624,1.6,2.31,0.71,145,4484.0,4265,-219.0,8749.0,25-12-1939,female,64,197099,29,41,10,2,10,74.7,9624,1.6,2.31,0.71,145,4484.0,4265,-219.0,8749.0,0,None,98.0,14.6,48139.0,8702.475510204082,200.0,113350.7,46061.3193877551
6520,16-03-1994,91200,24,3800,1,monthly issuance,28-07-1993,119895,17,4,3,2,4,89.9,10446,7.34,9.4,2.0600000000000005,90,4947.0,4743,-204.0,9690.0,26-08-1955,female,39,119895,17,4,3,2,4,89.9,10446,7.34,9.4,2.0600000000000005,90,4947.0,4743,-204.0,9690.0,0,None,36.0,14.6,34198.0,9999.522222222222,700.0,76736.9,32558.533333333333
6699,30-03-1994,7656,24,319,1,monthly issuance,28-03-1993,78955,50,24,8,1,9,59.0,9060,1.78,2.44,0.6599999999999999,124,1655.0,1717,62.0,3372.0,03-09-1962,female,48,78955,50,24,8,1,9,59.0,9060,1.78,2.44,0.6599999999999999,124,1655.0,1717,62.0,3372.0,0,None,81.0,9.2,31677.0,6436.60987654321,600.0,73069.1,46444.63950617284
6336,31-03-1994,212400,36,5900,1,weekly issuance,05-03-1993,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,24-10-1966,female,38,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,0,None,71.0,30.0,48828.0,11301.566197183098,300.0,133215.2,51034.361971830986
7055,06-04-1994,167100,60,2785,1,monthly issuance,06-05-1993,145688,22,41,13,2,5,40.7,8544,1.29,1.86,0.5700000000000001,109,2719.0,2906,187.0,5625.0,17-01-1970,female,62,145688,22,41,13,2,5,40.7,8544,1.29,1.86,0.5700000000000001,109,2719.0,2906,187.0,5625.0,0,None,79.0,14.6,49980.0,14332.407594936709,1100.0,143605.7,63707.626582278484
6103,07-04-1994,149340,60,2489,1,weekly issuance,21-05-1993,105606,77,26,7,2,7,53.0,8254,2.79,3.76,0.9699999999999998,97,2166.0,2325,159.0,4491.0,01-02-1963,male,44,105606,77,26,7,2,7,53.0,8254,2.79,3.76,0.9699999999999998,97,2166.0,2325,159.0,4491.0,0,None,56.0,30.0,22404.0,5778.791071428572,500.0,53214.0,29069.116071428572
6202,18-04-1994,65184,12,5432,1,monthly issuance,25-01-1993,387570,0,0,0,1,1,100.0,9897,1.6,1.96,0.3599999999999999,140,18721.0,18696,-25.0,37417.0,29-09-1957,male,3,75232,55,26,4,1,5,41.7,8980,1.95,2.21,0.26,111,2824.0,2813,-11.0,5637.0,0,None,82.0,14.6,48891.0,11972.676829268292,900.0,102410.3,47426.55
7066,02-05-1994,215388,36,5983,-1,monthly issuance,27-11-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,17-12-1959,male,39,119895,17,4,3,2,4,89.9,10446,7.34,9.4,2.0600000000000005,90,4947.0,4743,-204.0,9690.0,0,None,15.0,18.0,49757.0,6110.86,1000.0,50757.0,32702.726666666666
6696,09-05-1994,89040,60,1484,1,monthly issuance,12-04-1993,148545,8,35,12,3,4,53.5,8909,4.01,5.56,1.5499999999999998,113,3460.0,3590,130.0,7050.0,25-01-1970,female,77,148545,8,35,12,3,4,53.5,8909,4.01,5.56,1.5499999999999998,113,3460.0,3590,130.0,7050.0,0,None,87.0,14.6,15843.0,3441.2045977011494,800.0,46550.2,30045.399999999998
6072,10-05-1994,193968,36,5388,1,issuance after transaction,25-10-1993,226122,32,50,7,4,4,62.6,8994,3.8,4.79,0.9900000000000002,110,9672.0,9208,-464.0,18880.0,03-12-1972,male,72,226122,32,50,7,4,4,62.6,8994,3.8,4.79,0.9900000000000002,110,9672.0,9208,-464.0,18880.0,0,None,29.0,52.4,54200.0,16951.03448275862,800.0,120567.3,63579.21724137931
5130,11-05-1994,24312,12,2026,1,monthly issuance,10-02-1993,93931,74,21,10,1,8,56.9,8427,1.12,1.54,0.41999999999999993,107,1874.0,1913,39.0,3787.0,19-11-1955,female,16,93931,74,21,10,1,8,56.9,8427,1.12,1.54,0.41999999999999993,107,1874.0,1913,39.0,3787.0,0,None,78.0,14.6,24322.0,4949.474358974359,1100.0,48277.9,29380.839743589742
5568,17-05-1994,272520,60,4542,1,monthly issuance,18-06-1993,92084,55,29,4,3,5,46.7,10124,0.56,0.54,-0.020000000000000018,141,3810.0,4316,506.0,8126.0,02-09-1939,male,10,92084,55,29,4,3,5,46.7,10124,0.56,0.54,-0.020000000000000018,141,3810.0,4316,506.0,8126.0,0,None,84.0,13.3,56700.0,10778.345238095239,1100.0,121891.4,44602.64166666666
6678,20-05-1994,80340,12,6695,1,monthly issuance,05-07-1993,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,06-02-1976,female,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,52.0,14.6,61260.0,15464.398076923077,1100.0,122523.5,61531.59038461539
6998,21-05-1994,97632,12,8136,1,monthly issuance,24-07-1993,70646,94,14,3,1,4,58.4,8547,2.65,3.64,0.9900000000000002,120,1563.0,1542,-21.0,3105.0,07-09-1968,female,21,103347,87,16,7,1,7,67.0,9104,1.51,2.07,0.5599999999999998,123,2299.0,2354,55.0,4653.0,0,None,65.0,14.6,73224.0,15218.433846153846,1100.0,119900.1,53379.127692307695
6580,22-05-1994,196080,48,4085,1,monthly issuance,03-10-1993,87419,21,11,4,3,9,85.5,8624,1.79,2.66,0.8700000000000001,102,2879.0,3198,319.0,6077.0,27-05-1958,male,23,87419,21,11,4,3,9,85.5,8624,1.79,2.66,0.8700000000000001,102,2879.0,3198,319.0,6077.0,0,None,47.0,14.6,46888.0,10472.497872340426,900.0,97457.4,49143.96595744681
6316,26-05-1994,76908,12,6409,-1,monthly issuance,26-01-1993,107870,84,29,6,1,6,58.0,8754,3.83,4.31,0.47999999999999954,137,3804.0,3868,64.0,7672.0,19-01-1946,female,4,149893,63,29,6,2,6,67.4,9753,4.64,5.05,0.41000000000000014,109,5244.0,5892,648.0,11136.0,0,None,102.0,14.6,52200.0,12928.499019607843,1100.0,126002.8,52890.40392156863
6512,26-05-1994,63312,48,1319,1,monthly issuance,19-04-1993,149893,63,29,6,2,6,67.4,9753,4.64,5.05,0.41000000000000014,109,5244.0,5892,648.0,11136.0,07-05-1956,female,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,82.0,14.6,10500.0,2011.2317073170732,500.0,31462.9,22551.77926829268
6407,26-05-1994,25944,24,1081,1,monthly issuance,08-09-1993,118650,8,8,5,1,3,85.6,9832,3.32,4.48,1.1600000000000006,114,6445.0,5471,-974.0,11916.0,21-05-1960,female,41,118650,8,8,5,1,3,85.6,9832,3.32,4.48,1.1600000000000006,114,6445.0,5471,-974.0,11916.0,0,None,37.0,14.6,36289.5,10704.751351351351,600.0,80155.2,56927.454054054055
5002,31-05-1994,104808,12,8734,1,monthly issuance,26-11-1993,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,30-11-1939,male,66,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,0,None,30.0,14.6,25970.0,6642.553333333333,500.0,57865.3,38709.83
6647,01-06-1994,208320,48,4340,1,weekly issuance,07-02-1993,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,14-04-1968,female,31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,0.6800000000000002,108,1328.0,1452,124.0,2780.0,0,None,85.0,30.0,39060.0,9434.437647058823,200.0,82981.9,43944.88941176471
7137,03-06-1994,151560,24,6315,1,monthly issuance,21-11-1993,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,05-05-1953,male,66,125832,151,41,2,3,5,48.3,8512,3.51,4.12,0.6100000000000003,102,2247.0,2103,-144.0,4350.0,0,None,28.0,14.6,56835.0,16935.553571428572,300.0,97912.7,53976.29285714286
6903,04-06-1994,52128,24,2172,1,monthly issuance,13-09-1993,94812,15,13,8,2,10,81.8,9650,3.38,3.67,0.29000000000000004,100,2985.0,2804,-181.0,5789.0,17-07-1959,female,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,0,None,71.0,0.1,44473.0,6031.725352112676,144.2,59944.2,33459.68028169014
5918,04-06-1994,300204,36,8339,1,monthly issuance,05-06-1993,67298,71,19,10,0,7,43.8,8561,0.65,1.29,0.64,110,1029.0,1127,98.0,2156.0,13-03-1964,male,57,161954,21,37,20,3,8,48.0,8720,3.73,4.5,0.77,116,3729.0,3651,-78.0,7380.0,0,None,71.0,14.6,28365.0,6578.118309859155,300.0,57676.7,34084.46056338028
6642,05-06-1994,77640,12,6470,1,weekly issuance,07-07-1993,105606,77,26,7,2,7,53.0,8254,2.79,3.76,0.9699999999999998,97,2166.0,2325,159.0,4491.0,10-07-1967,male,27,67298,71,19,10,0,7,43.8,8561,0.65,1.29,0.64,110,1029.0,1127,98.0,2156.0,0,None,60.0,30.0,58227.0,13255.798333333334,700.0,117489.5,55570.305
6210,06-06-1994,87216,48,1817,-1,monthly issuance,26-11-1993,58796,22,16,7,1,5,51.9,9045,3.13,3.6,0.4700000000000002,124,1845.0,1879,34.0,3724.0,13-05-1964,male,15,58796,22,16,7,1,5,51.9,9045,3.13,3.6,0.4700000000000002,124,1845.0,1879,34.0,3724.0,0,None,33.0,14.6,16356.0,4041.378787878788,200.0,41410.0,28362.248484848486
6279,07-06-1994,87360,24,3640,1,monthly issuance,21-07-1993,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,10-07-1962,male,38,85852,41,23,4,2,4,59.8,8965,7.08,8.23,1.1500000000000004,104,2653.0,2822,169.0,5475.0,0,None,30.0,14.6,49341.0,8145.613333333334,200.0,69174.6,36783.95
7249,12-06-1994,69360,48,1445,1,monthly issuance,19-03-1993,75637,35,36,9,0,7,36.5,9622,0.45,0.59,0.13999999999999996,154,3475.0,3529,54.0,7004.0,28-07-1941,male,46,112709,48,20,7,3,10,73.5,8369,1.79,2.31,0.52,117,2854.0,2618,-236.0,5472.0,0,None,78.0,14.6,17782.0,4748.167948717949,1100.0,52365.0,33857.10641025641
6736,14-06-1994,288360,60,4806,1,issuance after transaction,27-02-1994,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,15-12-1935,male,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,0.14,167,85677.0,99107,13430.0,184784.0,0,None,10.0,8.7,27116.0,8585.04,800.0,58495.8,33211.76
6112,17-06-1994,174744,24,7281,-1,monthly issuance,22-03-1993,125236,28,11,1,4,5,87.7,9675,6.43,7.68,1.25,100,5323.0,5190,-133.0,10513.0,21-11-1978,female,5,95616,65,30,4,1,6,51.4,9307,3.85,4.43,0.5799999999999996,118,2616.0,3040,424.0,5656.0,0,None,118.0,0.2,46739.0,7375.627966101695,-1369.2,96659.4,26252.81440677966
5319,23-06-1994,239460,60,3991,1,monthly issuance,22-09-1993,128118,9,16,6,3,8,85.3,9317,6.49,7.07,0.5800000000000001,97,6949.0,6872,-77.0,13821.0,13-09-1942,female,68,228848,15,40,18,2,6,57.2,9893,4.09,4.72,0.6299999999999999,96,5623.0,5887,264.0,11510.0,0,None,46.0,14.6,35918.0,9689.68043478261,300.0,74408.8,40061.58043478261
